trade_date,F1,F2,f_000300.SH,r_000300.SH,e_000300.SH,f_399102.SZ,r_399102.SZ,e_399102.SZ,f_000680.SH,r_000680.SH,e_000680.SH
2014-01-02,,,,,,,,,,,
2014-01-03,,,,-0.013436389147528538,,,0.010562060945118246,,,,
2014-01-06,,,,-0.022761689364185655,,,-0.025943398059686262,,,,
2014-01-07,,,,-0.00028410144208279586,,,0.020696391478209897,,,,
2014-01-08,,,,0.001747094840440111,,,0.03291578450289756,,,,
2014-01-09,,,,-0.008782685842569138,,,-0.02149713167210765,,,,
2014-01-10,,,,-0.00781650429907732,,,-0.018359283141700766,,,,
2014-01-13,,,,-0.0050670090631974585,,,0.006953408068285816,,,,
2014-01-14,,,,0.008737376799431429,,,0.02997240660425926,,,,
2014-01-15,,,,-0.0017646957809084318,,,0.013294918025562596,,,,
2014-01-16,,,,0.0013142044083569449,,,-0.010923487597852666,,,,
2014-01-17,,,,-0.015080629556153191,,,0.0013327551490744938,,,,
2014-01-20,,,,-0.005735629482466642,,,-0.01432205507143225,,,,
2014-01-21,,,,0.009887843589522216,,,0.02437490062700043,,,,
2014-01-22,,,,0.025777517703585495,,,0.015450865183965545,,,,
2014-01-23,,,,-0.005306632153725066,,,0.021587546787786405,,,,
2014-01-24,,,,0.006178174631444433,,,0.01407240250728603,,,,
2014-01-27,,,,-0.013251677221756686,,,-0.003599540114201827,,,,
2014-01-28,,,,0.0017762382108732488,,,-0.006854533241481664,,,,
2014-01-29,,,,0.0035705034788307,,,0.0186966308321177,,,,
2014-01-30,,,,-0.011370507244652939,,,-0.002787280047402141,,,,
2014-02-07,,,,0.004555381506958334,,,0.025164144816143708,,,,
2014-02-10,,,,0.024881999093326224,,,0.01883693103615225,,,,
2014-02-11,,,,0.007950487181228594,,,-0.010026034153279073,,,,
2014-02-12,,,,0.0024869156907578738,,,0.012528320725010644,,,,
2014-02-13,,,,-0.005102900343306627,,,-0.0350048694064472,,,,
2014-02-14,,,,0.007028129186674059,,,0.02326864246016691,,,,
2014-02-17,,,,0.007001295971597488,,,0.029783256083191434,,,,
2014-02-18,,,,-0.012633849372330586,,,-0.00403207813200368,,,,
2014-02-19,,,,0.01148506730948684,,,-0.002334484637940837,,,,
2014-02-20,,,,-0.009191494965035796,,,-0.018357626511983915,,,,
