date,open
2026-09-01,True
2026-09-02,True
2026-09-03,True
2026-09-04,True
2026-09-05,False
2026-09-06,False
2026-09-07,True
2026-09-08,True
2026-09-09,True
2026-09-10,True
2026-09-11,True
2026-09-12,False
2026-09-13,False
2026-09-14,True
2026-09-15,True
2026-09-16,True
2026-09-17,True
2026-09-18,True
2026-09-19,False
2026-09-20,False
2026-09-21,True
2026-09-22,True
2026-09-23,True
2026-09-24,True
2026-09-25,False
2026-09-26,False
2026-09-27,False
2026-09-28,True
2026-09-29,True
2026-09-30,True
2026-10-01,False
2026-10-02,False
2026-10-03,False
2026-10-04,False
2026-10-05,False
2026-10-06,False
2026-10-07,False
2026-10-08,True
2026-10-09,True
2026-10-10,False
2026-10-11,False
2026-10-12,True
2026-10-13,True
2026-10-14,True
2026-10-15,True
2026-10-16,True
2026-10-17,False
2026-10-18,False
2026-10-19,True
2026-10-20,True
2026-10-21,True
2026-10-22,True
2026-10-23,True
2026-10-24,False
2026-10-25,False
2026-10-26,True
2026-10-27,True
2026-10-28,True
2026-10-29,True
2026-10-30,True
2026-10-31,False
2026-11-01,False
2026-11-02,True
2026-11-03,True
2026-11-04,True
2026-11-05,True
2026-11-06,True
2026-11-07,False
2026-11-08,False
2026-11-09,True
2026-11-10,True
