year,E5,E50,ew,mixed,rotation,mixed-ew
2014,1.5948519914669603,1.7384898193001168,1.2506391448005865,1.9468417295786715,2.2933693014586183,0.696202584778085
2015,2.8742741969218595,2.985871373591244,3.329829604734183,2.557939840951478,3.819652911034007,-0.7718897637827049
2016,0.8531554064227791,0.8207779751424756,0.9681127002168025,0.43672633069713007,0.4473147938430484,-0.5313863695196724
2017,0.5038874537357607,0.37950573171567514,0.7733852284312912,0.2763071507922701,-0.4651371540682528,-0.4970780776390211
2018,0.3115545082175488,-0.00367254209353364,0.8899544178230486,-0.026859864850594002,0.0865552364670256,-0.9168142826736426
2019,1.6678363964198253,1.5633193989083272,2.2876348142569087,1.4452271803229928,2.112767646842168,-0.8424076339339159
2020,1.479247080636575,1.412090345908436,1.5834780524287346,1.2470416610377673,0.7640724034949096,-0.33643639139096737
2021,1.8319585617028542,2.1092631656399567,1.4633523622992843,2.2014261740536143,1.2894261932126596,0.73807381175433
2022,1.0544769851173132,1.1464182851841473,1.0696744390354516,1.2778167736951178,1.270475058320253,0.20814233465966625
2023,0.5402273348977031,0.4503647422494262,0.6815889576542977,0.6757937349522097,0.6094665159619201,-0.005795222702087988
2024,0.8423244959320865,0.8274352245556537,0.8381247592393609,0.997470957366081,-0.5191554448754406,0.15934619812672013
2025,3.503863301204775,3.526745057814659,3.7400956263137446,2.940650670039111,3.0157021363532905,-0.7994449562746335
2026,2.360852930352941,2.8891560931657914,2.618205349455932,2.817957017071566,2.9929716223159026,0.19975166761563434
